Unnamed: 0,ID,int_rc,NoPaiFull,NoPaidLoan,NewLoanApplication,monto_cobrar,acepta,pagado
0,10001,0.23,0.15640634,0.2132155556977513,37752.0,52097.8,1,43949.373779948
1,10002,0.24,0.15996672,0.2189933808336736,52917.0,73554.6,1,61788.311897088
2,10003,0.25,0.0,0.0,106380.0,148932.0,0,148932.0
3,10004,0.25,0.1505349,0.2037931105115443,35830.0,50162.0,1,42610.8683462
4,10005,0.25,0.0,0.0,32816.0,45942.4,0,45942.4
5,10006,0.24,0.16704217,0.2306221138469878,57708.0,80214.1,1,66814.962671403
6,10007,0.21,0.15873079,0.2169821578279322,103440.0,140678.4,1,118348.40643206399
7,10008,0.26,0.0,0.0,139810.0,197132.1,0,197132.1
8,10009,0.23,0.15073611,0.2041138549997691,229950.0,317331.0,1,269497.75947759
9,10010,0.23,0.16858912,0.2331909440492286,248843.0,343403.3,1,285509.23984790395
10,10011,0.25,0.0,0.0,73997.0,103595.8,0,103595.8
11,10012,0.24,0.16753012,0.2314313618169584,94941.0,131968.0,1,109859.38512384
12,10013,0.25,0.0,0.0,138348.0,193687.2,0,193687.2
13,10014,0.27,0.0,0.0,149382.0,212122.4,0,212122.4
14,10015,0.23,0.1641382,0.2258255252243852,174402.0,240674.8,1,201170.87154264
15,10016,0.24,0.15841617,0.2164711214805541,40590.0,56420.1,1,47482.243846983
16,10017,0.24,0.16684337,0.2302926827816277,27272.0,37908.1,1,31583.384845702996
17,10018,0.26,0.0,0.0,63238.0,89165.6,0,89165.6
18,10019,0.24,0.16969493,0.2350330939205273,215662.0,299770.2,1,248900.716894914
19,10020,0.24,0.0,0.0,101528.0,141123.9,0,141123.9
20,10021,0.23,0.16069987,0.2201892313539852,120790.0,166690.2,1,139903.106529726
21,10022,0.23,0.0,0.0,202147.0,278962.9,0,278962.9
22,10023,0.23,0.15052204,0.2037726158310216,267212.0,368752.6,1,313247.20639269595
23,10024,0.23,0.0,0.0,306755.0,423321.9,0,423321.9
24,10025,0.26,0.0,0.0,101448.0,143041.7,0,143041.7
25,10026,0.22,0.16030647,0.2195472918553987,89369.0,122435.5,1,102808.297192315
26,10027,0.23,0.1545075,0.2101539930868694,137224.0,189369.1,1,160110.15378175
27,10028,0.23,0.16636494,0.2295005214871842,53210.0,73429.8,1,61213.655728788
28,10029,0.23,0.1605433,0.2199336725765606,87180.0,120308.4,1,100993.69244628
29,10030,0.25,0.0,0.0,241757.0,338459.8,0,338459.8
30,10031,0.24,0.15500307,0.2109516900848385,111198.0,154565.2,1,130607.119484836
31,10032,0.23,0.1618892,0.2221336128826881,72308.0,99785.0,1,83630.88617799999
32,10033,0.24,0.16898656,0.2338524681381807,173040.0,240525.6,1,199880.006264064
33,10034,0.25,0.16410574,0.2257720982555855,12570.0,17598.0,1,14710.06718748
34,10035,0.22,0.16699931,0.2305510773346417,133980.0,183552.6,1,152899.44245129402
35,10036,0.22,0.16731185,0.2310692514358466,54560.0,74747.2,1,62241.10768567999
36,10037,0.24,0.0,0.0,136788.0,190135.3,0,190135.3
37,10038,0.23,0.15016669,0.2032065482347356,129150.0,178227.0,1,151463.24134136998
38,10039,0.23,0.16537605,0.2278660437434127,133654.0,184442.5,1,153940.127897875
39,10040,0.26,0.0,0.0,50104.0,70646.6,0,70646.6
40,10041,0.23,0.0,0.0,178392.0,246181.0,0,246181.0
41,10042,0.25,0.0,0.0,108770.0,152278.0,0,152278.0
42,10043,0.27,0.0,0.0,41820.0,59384.4,0,59384.4
