ID,int_rc,NoPaiFull,NoPaidLoan,NewLoanApplication,monto_cobrar,acepta,pagado
10001,0.12,0.15640634,0.2132155556977513,37752.0,47945.0,1,40446.0980287
10002,0.12,0.15996672,0.2189933808336736,52917.0,67204.6,1,56454.100569088005
10003,0.12,0.0,0.0,106380.0,135102.6,0,135102.6
10004,0.1309499,0.1505349,0.2037931105115443,35830.0,45896.4,1,38987.39001564
10005,0.12,0.0,0.0,32816.0,41676.3,0,41676.3
10006,0.13299638,0.16704217,0.2306221138469878,57708.0,74039.2,1,61671.531366936
10007,0.13177723,0.15873079,0.2169821578279322,103440.0,132587.0,1,111541.36074627
10008,0.12,0.0,0.0,139810.0,177558.7,0,177558.7
10009,0.13648935,0.15073611,0.2041138549997691,229950.0,295828.2,1,251236.20790369803
10010,0.1448252,0.16858912,0.2331909440492286,248843.0,322208.2,1,267887.403105216
10011,0.12,0.0,0.0,73997.0,93976.2,0,93976.2
10012,0.12,0.16753012,0.2314313618169584,94941.0,120575.1,1,100375.139027988
10013,0.12,0.0,0.0,138348.0,175702.0,0,175702.0
10014,0.12,0.0,0.0,149382.0,189715.1,0,189715.1
10015,0.12,0.1641382,0.2258255252243852,174402.0,221490.5,1,185135.4480129
10016,0.12,0.15841617,0.2164711214805541,40590.0,51549.3,1,43383.057327819006
10017,0.13833758,0.16684337,0.2302926827816277,27272.0,35135.5,1,29273.374773364998
10018,0.12,0.0,0.0,63238.0,80312.3,0,80312.3
10019,0.14493634,0.16969493,0.2350330939205273,215662.0,279268.6,1,231878.13447180198
10020,0.12,0.0,0.0,101528.0,128940.6,0,128940.6
10021,0.1321038,0.16069987,0.2201892313539852,120790.0,154865.3,1,129978.466422489
10022,0.12,0.0,0.0,202147.0,256726.7,0,256726.7
10023,0.12,0.15052204,0.2037726158310216,267212.0,339359.2,1,288278.160923232
10024,0.12,0.0,0.0,306755.0,389578.8,0,389578.8
10025,0.12,0.0,0.0,101448.0,128839.0,0,128839.0
10026,0.12829249,0.16030647,0.2195472918553987,89369.0,114239.7,1,95926.336959141
10027,0.13463649,0.1545075,0.2101539930868694,137224.0,176283.0,1,149045.9543775
10028,0.14455253,0.16636494,0.2295005214871842,53210.0,68883.1,1,57423.367201486006
10029,0.1546774,0.1605433,0.2199336725765606,87180.0,113741.8,1,95481.31608006
10030,0.12,0.0,0.0,241757.0,307031.4,0,307031.4
10031,0.12,0.15500307,0.2109516900848385,111198.0,141221.5,1,119331.733949995
10032,0.12,0.1618892,0.2221336128826881,72308.0,91831.2,1,76964.72049695998
10033,0.15042035,0.16898656,0.2338524681381807,173040.0,225024.7,1,186998.550031968
10034,0.14238314,0.16410574,0.2257720982555855,12570.0,16245.3,1,13579.353021977999
10035,0.13156429,0.16699931,0.2305510773346417,133980.0,171704.0,1,143029.55047575998
10036,0.12944324,0.16731185,0.2310692514358466,54560.0,69806.4,1,58126.962074159994
10037,0.12921077,0.0,0.0,136788.0,174980.7,0,174980.7
10038,0.12,0.15016669,0.2032065482347356,129150.0,164020.5,1,139390.084422855
10039,0.14270036,0.16537605,0.2278660437434127,133654.0,172774.6,1,144201.81911167002
10040,0.12,0.0,0.0,50104.0,63632.1,0,63632.1
10041,0.12,0.0,0.0,178392.0,226557.8,0,226557.8
10042,0.12,0.0,0.0,108770.0,138137.9,0,138137.9
10043,0.12,0.0,0.0,41820.0,53111.4,0,53111.4
10044,0.12,0.0,0.0,212805.0,270262.4,0,270262.4
10045,0.13621978,0.16466957,0.2267007147099862,221782.0,285260.4,1,238286.692593972
10046,0.12,0.0,0.0,39330.0,49949.1,0,49949.1
10047,0.14794697,0.16752638,0.2314251555502743,34749.0,45102.4,1,37546.558198688
10048,0.12911315,0.1532981,0.2082111956994546,56187.0,71869.5,1,60852.04220205
10049,0.1502959,0.16665582,0.2299820381537915,95088.0,123642.5,1,103036.75777565
10050,0.12,0.0,0.0,78622.0,99849.9,0,99849.9
10051,0.12,0.0,0.0,28610.0,36334.7,0,36334.7
10052,0.12,0.0,0.0,24044.0,30535.9,0,30535.9
10053,0.12,0.15450637,0.2101521752446556,41130.0,52235.1,1,44164.444312413
10054,0.12979734,0.15871607,0.2169582396516237,97332.0,124565.2,1,104794.700997236
10055,0.12,0.0,0.0,243690.0,309486.3,0,309486.3
10056,0.12322972,0.16457865,0.2265508865675983,306486.0,390227.1,1,326004.05068858503
10057,0.12,0.0,0.0,53442.0,67871.3,0,67871.3
10058,0.12,0.16454378,0.2264934325343823,306138.0,388795.3,1,324821.451691766
10059,0.12,0.0,0.0,30210.0,38366.7,0,38366.7
10060,0.12,0.0,0.0,74600.0,94742.0,0,94742.0
10061,0.14019166,0.15876754,0.2170418756784541,101370.0,130786.7,1,110022.01737628199
10062,0.12,0.0,0.0,201456.0,255849.1,0,255849.1
10063,0.12,0.0,0.0,76884.0,97642.7,0,97642.7
10064,0.12,0.0,0.0,384321.0,488087.7,0,488087.7
10065,0.14002818,0.16513474,0.2274677844422465,80992.0,104482.0,1,87228.39209532
10066,0.12,0.16664553,0.2299649985677762,228492.0,290184.8,1,241826.80020605598
10067,0.12,0.0,0.0,68814.0,87393.8,0,87393.8
10068,0.1370023,0.16706279,0.2306562922071881,178020.0,229112.1,1,190835.993351241
10069,0.12,0.15175907,0.2057468866775858,136185.0,172955.0,1,146707.51004815
10070,0.12,0.0,0.0,106850.0,135699.5,0,135699.5
10071,0.13876408,0.16395622,0.225526051996942,149424.0,192572.3,1,160998.873615294
10072,0.12,0.0,0.0,89448.0,113599.0,0,113599.0
10073,0.1457699,0.1595319,0.2182851258721179,258818.0,335368.6,1,281866.61004166
10074,0.12,0.0,0.0,42270.0,53682.9,0,53682.9
10075,0.13484281,0.1554267,0.2116343306140508,42240.0,54271.8,1,45836.513222940004
10076,0.13411646,0.16759685,0.2315421049283631,96590.0,124032.8,1,103245.29342332
10077,0.13141538,0.15731004,0.2146774669060967,77450.0,99245.6,1,83633.270694176
10078,0.12,0.0,0.0,128380.0,163042.6,0,163042.6
10079,0.12,0.0,0.0,142450.0,180911.5,0,180911.5
10080,0.12,0.0,0.0,322507.0,409583.9,0,409583.9
10081,0.12,0.16323735,0.2243443257176929,94731.0,120308.4,1,100669.57560126
10082,0.1489123,0.16990471,0.2353831166780863,156654.0,203479.8,1,168907.623590142
10083,0.12,0.15237726,0.2067356628492529,84380.0,107162.6,1,90833.45663752401
10084,0.12635018,0.155282,0.2114010829649658,58956.0,75248.5,1,63563.762423
10085,0.12,0.0,0.0,196346.0,249359.4,0,249359.4
10086,0.1274619,0.15484801,0.210701996335594,66556.0,85022.8,1,71857.188615372
10087,0.12,0.16138265,0.2213048030785433,122213.0,155210.5,1,130162.218202175
10088,0.12,0.0,0.0,80852.0,102682.0,0,102682.0
10089,0.12,0.0,0.0,75366.0,95714.8,0,95714.8
10090,0.13033666,0.16073622,0.2202485766751425,41232.0,52790.8,1,44305.406357224005
10091,0.12,0.0,0.0,89607.0,113800.9,0,113800.9
10092,0.12,0.0,0.0,174211.0,221248.0,0,221248.0
10093,0.12,0.15228513,0.2065882122605682,176304.0,223906.1,1,189808.530453707
10094,0.12,0.0,0.0,54312.0,68976.2,0,68976.2
10095,0.12,0.0,0.0,288615.0,366541.0,0,366541.0
10096,0.12,0.1623885,0.2229515413768793,55680.0,70713.6,1,59230.5245664
10097,0.12,0.0,0.0,26414.0,33545.8,0,33545.8
10098,0.12,0.0,0.0,82605.0,104908.4,0,104908.4
10099,0.12,0.0,0.0,70196.0,89148.9,0,89148.9
10100,0.13416836,0.16354679,0.2248527547643699,17072.0,21923.3,1,18337.814658793
10101,0.12,0.0,0.0,29304.0,37216.1,0,37216.1
10102,0.13340354,0.15532531,0.2114708876857669,25266.0,32426.5,1,27389.843835285
10103,0.12,0.0,0.0,333642.0,423725.3,0,423725.3
10104,0.12,0.0,0.0,101122.0,128424.9,0,128424.9
10105,0.12,0.0,0.0,90504.0,114940.1,0,114940.1
10106,0.12,0.0,0.0,119149.0,151319.2,0,151319.2
10107,0.1273281,0.15573014,0.2121237171726111,34464.0,44021.8,1,37166.278922948004
10108,0.12,0.0,0.0,105960.0,134569.2,0,134569.2
10109,0.12,0.0,0.0,275310.0,349643.7,0,349643.7
10110,0.12,0.1568022,0.2138555508565131,274568.0,348701.4,1,294024.25333692
10111,0.12,0.0,0.0,37692.0,47868.8,0,47868.8
10112,0.12505096,0.16640769,0.229571267877939,412060.0,525397.5,1,437967.315693225
10113,0.133759,0.16382065,0.225303037560064,180754.0,232044.6,1,194030.90279901001
10114,0.12,0.0,0.0,165168.0,209763.4,0,209763.4
10115,0.13190335,0.15810072,0.2159591204306528,233520.0,299350.1,1,252022.63365792797
10116,0.12,0.0,0.0,247894.0,314825.4,0,314825.4
10117,0.1243039,0.0,0.0,89768.0,114391.7,0,114391.7
10118,0.15063822,0.16945408,0.2346314481925334,229032.0,297887.8,1,247409.49690777602
10119,0.12,0.0,0.0,70308.0,89291.2,0,89291.2
10120,0.12769553,0.1623396,0.2228713927505705,212004.0,270876.6,1,226902.60110663998
10121,0.12,0.0,0.0,161541.0,205157.1,0,205157.1
10122,0.12,0.0,0.0,173922.0,220880.9,0,220880.9
10123,0.12616348,0.15590186,0.2124008222550992,72895.0,93025.9,1,78522.989161826
10124,0.12,0.0,0.0,35850.0,45529.5,0,45529.5
10125,0.12,0.0,0.0,37455.0,47567.8,0,47567.8
10126,0.13473019,0.1645255,0.2264633151580328,30447.0,39116.2,1,32680.587636899996
10127,0.12,0.0,0.0,99780.0,126720.6,0,126720.6
10128,0.12,0.15069883,0.2040544162914553,45702.0,58041.5,1,49294.713858555
10129,0.14191453,0.15732707,0.2147050463576656,276437.0,357133.0,1,300946.31150969
10130,0.12,0.0,0.0,178841.0,227128.1,0,227128.1
10131,0.14396133,0.16119066,0.2209909334104458,75680.0,97927.0,1,82142.08223818
10132,0.12,0.0,0.0,254373.0,323053.7,0,323053.7
10133,0.12,0.0,0.0,185460.0,235534.2,0,235534.2
10134,0.12,0.0,0.0,144381.0,183363.9,0,183363.9
10135,0.12,0.0,0.0,58928.0,74838.6,0,74838.6
10136,0.12,0.0,0.0,9012.0,11445.2,0,11445.2
10137,0.12,0.0,0.0,33072.0,42001.4,0,42001.4
10138,0.12873845,0.15612072,0.2127541607610036,209488.0,267880.4,1,226058.71907811202
